,City,Country,Max Temp,Lat,Lng,Hotel Name
2,Bengkulu,ID,83.82,-3.8004,102.2655,Grage Hotel Bengkulu
8,Karratha,AU,92.21,-20.7377,116.8463,ibis Styles Karratha
9,Butaritari,KI,81.25,3.0707,172.7902,Isles Sunset Lodge
15,Mecca,SA,77.47,21.4267,39.8261,"Makkah Clock Royal Tower, A Fairmont Hotel"
16,Kapaa,US,75.18,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
18,Busselton,AU,82.94,-33.65,115.3333,Observatory Guest House
24,Hilo,US,75.25,19.7297,-155.09,Hilo Hawaiian Hotel
25,Atuona,PF,78.01,-9.8,-139.0333,Villa Enata
26,Avarua,CK,77.05,-21.2078,-159.775,Paradise Inn
36,Hobyo,SO,81.37,5.3505,48.5268,Halane Hotel and Restaurent
47,Vaini,TO,82.56,-21.2,-175.2,Keleti Beach Resort
49,Touros,BR,76.06,-5.1989,-35.4608,INN NEW HORIZON
53,Kahului,US,75.85,20.8947,-156.47,Maui Seaside Hotel
61,Majene,ID,86.77,-3.5403,118.9707,Kost Putri RABBANI
71,Warri,NG,75.06,5.5167,5.75,GT Guesthouse
73,Saint-Philippe,RE,81.99,-21.3585,55.7679,Le four à pain
75,Bambous Virieux,MU,82.65,-20.3428,57.7575,Casa Tia Villa
82,Mount Isa,AU,94.77,-20.7333,139.5,ibis Styles Mt Isa Verona
83,Ambilobe,MG,83.32,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
86,Marawi,PH,80.83,7.9986,124.2928,Derogongan Residence
91,Samarai,PG,84.87,-10.6167,150.6667,Nuli Sapi
95,Altamira,BR,77.4,-3.2033,-52.2064,Requinte Hotel
108,Sao Jose Da Coroa Grande,BR,76.14,-8.8978,-35.1478,Crôa Mares Hotel
112,Santiago Del Estero,AR,77.49,-27.7951,-64.2615,Apartamentos Castelli 90
113,Bathsheba,BB,77.61,13.2167,-59.5167,Atlantis Hotel
114,Cayenne,GF,75.24,4.9333,-52.3333,Hôtel Le Dronmi
115,Manadhoo,MV,80.78,5.7667,73.3833,Bon Abri maldives
117,Souillac,MU,82.78,-20.5167,57.5167,Shanti Maurice Resort & Spa
121,Qui Nhon,VN,82.13,13.7667,109.2333,Seagull Hotel
